,Total abundance of ASV,Maximum abundance in samples,Number of Samples
a212e4b1bdc14e961e552fd4111a970b,2,2,1
1547815c138b6ffc808a378a8f4ec820,2,2,1
8c7802799a10ed9b0a3912dcd4919acc,2,2,1
d0241a44b0dbe89a3fa960341101c696,2,2,1
de4feefbf90413e122dc84f3af456e20,2,2,1
d61c87aa194cd265efbd0882889e9d57,2,2,1
a34dd7c622d7d131e5656595434639ab,2,2,1
e75201f3fe6ca08af39952b9e09d887e,2,2,1
497cbc27668324dfa18edf40f3a7243f,2,2,1
9c207007cc729e09705519d36dbcbf6a,2,2,1
f34c91825db9a719871349a5a7bea6da,2,2,1
40bfc7813438c4bd8f2aebc0398bd480,2,2,1
6725f8a26bfebf257784da00b36ce3ac,2,2,1
9fbf09e071fc41582e23bd64d6615246,2,2,1
581ef81ec9ade4e4b90fd8cb53800c1e,2,2,1
ddb497b1111f4cb25ea6308a76d11da3,2,2,1
891dbde4637fa2155aed5f96e9e49d2f,2,2,1
9a6d3a1615ea2509da50ec8e212e1402,2,2,1
e1e1f6cb2f1f02834a44f251ce0aa546,2,2,1
1acb88a8f5a81b7b796c7cf529773f16,2,2,1
ad4390907ade721406d9ba21c8dcedac,2,2,1
44d5ff9e420fa45de91d9e9a47eb0e1f,2,2,1
30cc56766b6ffe7adf552275a5350061,2,2,1
185843f9fe24341ff179b43c3c55dff8,2,2,1
00633280a08964e7147c98b4e5dc0483,2,2,1
575d9fd56426fad644d08981005caaa8,2,2,1
5591187cab2e59a417688d9f053474bd,2,2,1
bea2b8c8eeb76cecf466ce3145da8539,2,2,1
3f7b8b80a1d71645dede1691af002667,2,2,1
7c48d8b5948eb33b364ac3531fb29abc,2,2,1
359296e787ac189672aebbc4349da8c3,2,2,1
0494cbfe7a770edccf619e7741404c4e,2,2,1
0622883300363590c992186fa4c6b8da,2,2,1
eff82d2c24e781deb5c85218d955c46d,2,2,1
caf244c4ea03c355af4dd05c275e7cfa,2,2,1
9203c20b595ee0da80fdcbea706795e1,2,2,1
50cabacd60b12c2e32b35e72f66f9ad0,2,2,1
7ead02cd4fa873105159e4d65be022fb,2,2,1
98cd8656dcbec21bcbe78ac2b67b5ff7,2,2,1
5f6de9e200cb36afea8d19e78cbf86a5,2,2,1
a45faba5687a6989db334eb744157c85,2,2,1
7ad0659cdb5e8169ebea94f6be6ae645,2,2,1
b63f1383a5b9df38729d6d155b147bfb,2,2,1
21deaa5ff36a6301bdc9f0557b0f9280,2,2,1
10fb2925b54e05c0f418da31d28a5b57,2,2,1
004828f63912f0a65b4dcff422449d88,2,2,1
dc550375c12f64efeb1cbdb1c4cf1ae8,2,2,1
58b7175cc1f3f681e0fb98e4b52fade9,2,2,1
54a2994bcc6b9085f8bafc8575c1b167,2,2,1
f33b4eb525f1a9aa40b34c58bed847e4,2,2,1
7e523610f69c3029a676ad3669d91fb3,2,2,1
b7d5b886d5e6138f2d83303910fb036f,2,2,1
66b40208ab4e20cec9a37a7d029187ca,2,2,1
7b1ff163946745509a2cd2439fc42ebd,2,2,1
85bc3fc12aa42fbda333ef4eec45689c,2,2,1
1f769f5529052b0e2fdc8dedb1270e87,2,2,1
4d8b399d15484a8a00f3c2cd8dedd057,2,2,1
e8a28e97a7553fc9168d24f86e00c00c,2,2,1
dcf570d3597842e6650c0659954efb96,2,2,1
370d6f407784283c6f195f801e81904f,2,2,1
f23fd00ddebd07224904aa54dc489543,2,2,1
31bed4bd6f47b9cd2a907db3beaf665f,2,2,1
6b0e257e0caffd0c26d78b75e9dad364,2,2,1
ccc5bde6a790978ed002f80008df3803,2,2,1
68db4555b56bb83a6029aa63723d31d6,2,2,1
ed7588b74d32f182e218750be01656fb,2,2,1
eef483408173239d6afa6d7c7f47bcf9,2,2,1
8beec4b6acb0053904d83e538f4442ad,2,2,1
5976310705eda9f0579222c98a15308a,2,2,1
a741c64278f562ade8f6b36748c3d2b7,2,2,1
ead61194de93c6faf2fc9f885d7a5257,2,2,1
3e6b6b7c944a2ec598c37799a8fbb9b5,2,2,1
665c60f1160e82d49f3fc497362a57b6,2,2,1
084e491caa76f2a8a4e157c5906a80df,2,2,1
7ff5f3726e8e0817dea10e7af5df592b,2,2,1
50c60eec07e07812671f6dcfb5522f60,2,2,1
690e9ad2fb0d02165c8085b060d82a5c,2,2,1
f66e9450a2c938671ad46c6f79450c8b,2,2,1
d239daf9672e19db74a9374b020a5c27,2,2,1
ba83891d9187023a52402972ea2bc612,2,2,1
57e312950463cdf26b32f4a25dc24d9e,2,2,1
73ba227777fce2633f0f70ffc3904a16,2,2,1
a8b919e425c79b099120cec8745b88be,2,2,1
a7851cb784be2af7c9ce4de15b92d0d5,2,2,1
3d325357396f162a4aebb9c81f2f1007,2,2,1
be50a07c75c8d8dfa93f9b8e43e3fc5a,2,2,1
b2fddf206998864fce287e4f2d177468,2,2,1
2f6719f403d9af7d572ec7f1f16c591d,2,2,1
35f6bd498cebe2996ec719a731627c1e,2,2,1
c3b147db6c7e4c83f3208d24722b9cf8,2,2,1
0cf1c21ee432a8a0c22b9a8d568df152,2,2,1
8f031406edc3fa2f54e86c99991b5f0d,2,2,1
f634881024021f25488f12c068be9b57,2,2,1
f111ce5274c9f449546223cc6a551711,2,2,1
9faae1e3a600cf4b3984ca2b903b6cd1,2,2,1
c4aa8d2e701384ec17f94bc842454377,2,2,1
0e1dead579150ffa97c2c2b1d15bdbda,2,2,1
81d739cb31597df8ed911ac8616da820,2,2,1
83cfba3dcc18cac2850cf9df29535883,2,2,1
b3e0eadb968e9227d3f3b823c15a2b1d,2,2,1
75cfbdd2e2d03c13175015f115cbab24,2,2,1
fbe6fc14315d8c2f3b0fbd892ab22c1f,2,2,1
c9b7048af9c135a04341a3c4f6e1df47,2,2,1
1645cfb8db7dc32f81ddc01ec5fd36a0,2,2,1
38ce5555903f15dfa315c8f4ea8aafd9,2,2,1
776fa64e4599ff18d377256e72b46155,2,2,1
4322de28d8c19fcb7a2d613f682ec5b8,2,2,1
95e81231ebe153272b00260c87c4d96c,2,2,1
229c31447a8ffc29708f59f1a559b5f0,2,2,1
ca6d8448eb0c3800e1fb24ff50a2f834,2,2,1
46c12c3b95754d2c654cd38c6e2ae180,2,2,1
3dc7bb7a1c0ab65aaa39456c02ed4279,2,2,1
b59fb3ed303974d9334189113e85884a,2,2,1
63defbea359faf60f11ac17eec6cdf35,2,2,1
29774c0986070f7187e54ae5c90a353e,2,2,1
47c7e1f4a25524c34a3564d41151e557,2,2,1
b5d7cf0ef8b825242683298ec2900b36,2,2,1
0f32065a3d0d8bd4ab51c06f194552c6,2,2,1
64476081550317d9942f655866c9cb3f,2,2,1
a1ac5b706bdc359d7a51ccd2d0c66386,2,2,1
402c8bb651332cf559874d6ad300031b,2,2,1
755a2774f616a2e73985fc37c84693f9,2,2,1
17d6fd1d12ea4cb195801d1744e1b029,2,2,1
39892a94f81293d68fd81dd8fe0550bf,2,2,1
0a9e283366ac121a03737043e93b8ebf,2,2,1
9b05122db5d827c5b21d640488affed6,2,2,1
c4ba40bf9c07f4c8a98f34aade7575ad,2,2,1
d09f77ea6c775579e1e35cea65865c7a,2,2,1
524b2035c3dd0a3a12bc39d5a4ab3be0,2,2,1
d259cb9e235d97aca614af2ba7e28427,2,2,1
079c8d0281124e62d0e8ba02d0e9b623,2,2,1
ba71082192411bdd7a722cab2f42faaa,2,2,1
f3a65faa36d550bdda44474d5b487e54,2,2,1
c98fb85afdf0021d939694f1174c128b,2,2,1
15cbc84a8404d9fb622f7a40d68d1b48,2,2,1
5d4f39d111f8f01dfa2cfba5a129a70a,2,2,1
199aad7d7cffcaa23a9b30ca82f16be1,2,2,1
7871f85199cb48b5cca1ccca3e5498e5,2,2,1
b503304cd78096a89516021e2078e635,2,2,1
