,D001,D002,D003,D005,D006,D007,D008,D009,D010,D011,D012,D013,D014,D015,D016,D018,D019,D020,D021,D022,D023,D024,D025,D026,D027,D029,D030,D031,D032,D033,D034,D035,D036,D037,D038,D039,D040,D041,D042,D043,D046,D047,D048,D049,D050,D051,D055,D057,D058,D059,D061,D062,D064,D065,D066,D067,D068,D069,D070,D071,D072,D073,D074,D075,D076,D077,D078,D079,D080,D081,D082,D083,D084,D085,D086,D087,D088,D089,D090,D091,D092,D093,D094,D095,D096,D097,D098,D099,D100,D101,D102,D103,D104,D105,D106,D107,D108,D109,D110,D111,D112,D113,D114,D115,D116,D117,D118,D119,D120,D121,D122,D123,D124,D125,D126,D127,D128,D129,D130
f8efa1bca3988a8b5b2ef121d1a77e71,103.0,0,56.0,8.0,87.0,37.0,45.0,0,19.0,0,0,49.0,16.0,0,49.0,0,0,15.0,0,19.0,0,117.0,10.0,0,85.0,51.0,0,231.0,127.0,109.0,57.0,40.0,0,0,0,67.0,130.0,170.0,0,45.0,0,0,56.0,0,53.0,58.0,0,68.0,27.0,109.0,157.0,0,0,51.0,0,57.0,0,0,0,0,10.0,0,0,0,38.0,0,0,58.0,106.0,115.0,0,97.0,0,12.0,0,47.0,0,59.0,0,60.0,0,0,99.0,59.0,0,94.0,0,0,0,0,43.0,0,0,0,120.0,0,70.0,30.0,194.0,50.0,0,0,18.0,19.0,0,49.0,111.0,0,74.0,38.0,30.0,0,0,0,0,222.0,77.0,33.0,0
f965307441ee188bc97a37880531e792,0,0,141.0,0,0,0,0,0,0,646.0,0,0,0,28.0,0,0,20.0,0,0,0,0,0,0,489.0,0,0,0,0,0,0,0,0,0,65.0,302.0,0,0,0,0,0,0,0,0,112.0,0,0,60.0,0,0,0,137.0,0,0,0,57.0,0,0,172.0,0,0,0,14.0,0,0,0,430.0,0,0,0,0,0,0,0,0,63.0,0,0,0,0,0,702.0,568.0,0,0,0,0,0,0,454.0,0,0,0,0,19.0,0,0,0,0,0,0,72.0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.0,0,0,0,0
f241c64cb46859d4f9bb386bb1f0d93a,47.0,0,71.0,61.0,30.0,0,27.0,0,32.0,0,0,88.0,0,0,53.0,0,57.0,70.0,83.0,118.0,55.0,42.0,0,0,45.0,0,67.0,55.0,56.0,26.0,31.0,42.0,0,35.0,0,52.0,0,0,40.0,31.0,55.0,42.0,109.0,29.0,47.0,0,12.0,20.0,40.0,0,77.0,229.0,0,110.0,133.0,34.0,48.0,0,0,0,153.0,113.0,38.0,0,23.0,0,0,58.0,67.0,77.0,34.0,57.0,25.0,72.0,28.0,34.0,31.0,46.0,0,0,32.0,0,31.0,68.0,0,21.0,0,19.0,0,68.0,66.0,21.0,28.0,0,0,0,0,43.0,83.0,0,34.0,66.0,27.0,0,39.0,44.0,74.0,0,36.0,12.0,48.0,43.0,108.0,0,0,0,49.0,74.0,28.0
0e4c1f05713d8d557f9f46487c19b5c7,56.0,32.0,113.0,79.0,68.0,0,26.0,44.0,60.0,0,0,40.0,53.0,70.0,0,0,49.0,57.0,47.0,53.0,36.0,17.0,48.0,33.0,0,20.0,0,0,0,48.0,42.0,52.0,0,47.0,57.0,0,65.0,40.0,104.0,37.0,0,0,0,0,0,65.0,57.0,68.0,59.0,0,305.0,28.0,0,76.0,61.0,0,34.0,0,0,0,0,112.0,0,58.0,51.0,23.0,59.0,29.0,16.0,82.0,0,42.0,46.0,57.0,0,36.0,0,72.0,39.0,0,73.0,104.0,92.0,108.0,94.0,0,0,50.0,0,78.0,49.0,0,0,0,30.0,0,52.0,47.0,81.0,90.0,0,33.0,69.0,0,0,20.0,111.0,0,15.0,50.0,60.0,0,73.0,48.0,42.0,0,79.0,24.0,31.0
30a6aebfa6867bbb5574aecf9548ec26,0,0,140.0,161.0,57.0,0,0,0,0,0,0,0,38.0,0,31.0,0,81.0,27.0,31.0,49.0,80.0,153.0,0,35.0,0,0,0,17.0,0,44.0,0,0,117.0,25.0,41.0,0,32.0,0,0,0,190.0,0,30.0,0,23.0,0,34.0,66.0,0,46.0,40.0,128.0,238.0,0,63.0,89.0,0,128.0,0,0,0,60.0,0,0,56.0,30.0,0,62.0,0,0,0,0,43.0,0,46.0,0,51.0,0,126.0,154.0,37.0,40.0,27.0,0,71.0,0,61.0,185.0,120.0,136.0,76.0,64.0,46.0,0,0,0,0,35.0,81.0,0,0,0,77.0,0,59.0,39.0,42.0,86.0,0,35.0,0,0,0,0,46.0,0,0,0,59.0
c55dc26124bd3d4c33cd323ad815bd76,0,0,0,51.0,41.0,0,0,67.0,42.0,0,0,52.0,0,38.0,184.0,0,33.0,0,47.0,63.0,37.0,27.0,0,0,62.0,40.0,135.0,160.0,54.0,50.0,27.0,78.0,0,41.0,64.0,65.0,29.0,0,29.0,0,60.0,26.0,32.0,66.0,35.0,0,0,46.0,0,0,96.0,0,0,11.0,55.0,0,0,33.0,0,0,78.0,59.0,0,0,0,62.0,0,71.0,0,55.0,75.0,33.0,67.0,0,307.0,0,83.0,0,24.0,0,114.0,42.0,0,34.0,47.0,0,18.0,78.0,34.0,0,44.0,32.0,29.0,25.0,65.0,26.0,0,88.0,87.0,0,35.0,50.0,0,0,0,38.0,25.0,209.0,55.0,0,111.0,42.0,34.0,0,92.0,30.0,0,34.0,0
bdadbc5bf8a626c5fa726468e3ab9ebe,100.0,0,32.0,13.0,72.0,31.0,10.0,0,29.0,0,0,26.0,17.0,0,31.0,0,0,23.0,0,27.0,0,105.0,10.0,0,97.0,47.0,0,216.0,85.0,102.0,35.0,40.0,0,0,0,60.0,119.0,162.0,0,40.0,0,0,71.0,0,80.0,40.0,0,62.0,27.0,107.0,177.0,0,0,58.0,0,43.0,17.0,0,0,0,6.0,0,0,0,30.0,0,0,69.0,80.0,88.0,12.0,63.0,0,11.0,0,29.0,0,34.0,0,56.0,0,0,103.0,47.0,0,34.0,0,0,0,0,42.0,0,0,0,108.0,0,64.0,27.0,205.0,20.0,0,0,21.0,26.0,0,40.0,93.0,0,79.0,28.0,18.0,0,0,0,0,211.0,69.0,17.0,0
8cdf20771588aa1038946a31a9ad2f85,0,0,122.0,35.0,0,0,0,0,0,0,0,0,41.0,0,0,0,0,0,0,0,0,0,0,211.0,43.0,0,0,0,0,0,0,0,366.0,10.0,0,0,22.0,0,0,0,0,0,0,0,0,0,0,10.0,38.0,0,0,0,35.0,0,56.0,33.0,0,0,0,0,0,133.0,0,407.0,0,291.0,0,0,0,0,0,0,0,0,0,0,231.0,0,0,117.0,387.0,200.0,0,53.0,32.0,0,84.0,26.0,0,36.0,0,91.0,0,264.0,0,62.0,0,49.0,0,0,43.0,0,0,0,264.0,0,0,209.0,0,0,0,0,353.0,0,0,34.0,0,0,42.0
a4a0440f466b9e7c0e930c663736050d,33.0,54.0,0,121.0,0,0,0,25.0,0,0,73.0,7.0,0,99.0,0,0,53.0,29.0,0,0,26.0,16.0,93.0,18.0,0,28.0,78.0,10.0,0,0,0,24.0,0,0,8.0,20.0,29.0,0,18.0,14.0,426.0,0,55.0,176.0,0,0,0,0,0,238.0,35.0,182.0,423.0,44.0,1.0,6.0,0,30.0,101.0,0,0,0,14.0,80.0,0,0,439.0,0,18.0,0,0,21.0,0,23.0,0,0,0,0,80.0,0,0,0,0,0,5.0,0,90.0,0,0,24.0,131.0,11.0,31.0,0,0,8.0,88.0,20.0,11.0,63.0,0,0,0,91.0,0,0,43.0,0,31.0,0,0,0,0,0,0,14.0,97.0,44.0,24.0
8d36f67747016f670eab677698a39d0a,12.0,0,19.0,41.0,31.0,0,0,0,7.0,0,0,35.0,0,0,34.0,0,25.0,52.0,55.0,29.0,18.0,19.0,0,0,0,26.0,28.0,0,70.0,47.0,20.0,21.0,0,78.0,22.0,71.0,0,18.0,8.0,36.0,35.0,29.0,30.0,261.0,27.0,0,20.0,25.0,13.0,68.0,27.0,235.0,41.0,0,28.0,38.0,12.0,114.0,0,261.0,111.0,22.0,50.0,0,19.0,29.0,65.0,79.0,0,39.0,44.0,0,89.0,0,15.0,34.0,25.0,27.0,145.0,0,0,51.0,24.0,22.0,13.0,12.0,38.0,0,30.0,20.0,9.0,19.0,0,63.0,0,0,0,17.0,91.0,32.0,40.0,53.0,27.0,0,62.0,16.0,29.0,0,51.0,0,32.0,0,0,0,29.0,86.0,0,7.0,0
954977cf756bb20ca962cbba95032d7a,35.0,0,16.0,83.0,62.0,0,29.0,0,33.0,0,0,110.0,0,79.0,69.0,0,45.0,59.0,18.0,40.0,44.0,55.0,45.0,0,62.0,24.0,31.0,11.0,58.0,50.0,28.0,31.0,0,0,48.0,0,42.0,43.0,55.0,16.0,18.0,26.0,31.0,27.0,18.0,0,19.0,40.0,35.0,51.0,25.0,96.0,0,0,22.0,0,42.0,0,33.0,0,0,56.0,0,0,27.0,37.0,0,43.0,68.0,40.0,19.0,24.0,85.0,99.0,81.0,23.0,0,41.0,145.0,0,43.0,53.0,34.0,84.0,25.0,20.0,0,60.0,0,17.0,54.0,35.0,0,0,0,0,0,149.0,45.0,25.0,36.0,37.0,17.0,64.0,0,21.0,0,0,15.0,47.0,30.0,34.0,0,45.0,56.0,0,59.0,37.0,0
c44579d84305ce5b1e1e4438b912bd4c,112.0,0,0,37.0,0,0,0,0,0,0,0,60.0,35.0,64.0,55.0,0,54.0,0,0,46.0,42.0,31.0,29.0,0,0,80.0,0,44.0,64.0,0,62.0,0,55.0,45.0,0,0,0,0,0,45.0,0,0,83.0,110.0,61.0,0,79.0,34.0,39.0,24.0,30.0,81.0,0,0,0,73.0,0,0,0,0,99.0,50.0,82.0,0,27.0,0,0,50.0,21.0,54.0,98.0,26.0,24.0,42.0,66.0,42.0,83.0,77.0,0,0,25.0,0,18.0,21.0,36.0,50.0,0,0,0,0,87.0,0,70.0,50.0,0,117.0,29.0,49.0,46.0,49.0,78.0,0,0,29.0,0,0,85.0,51.0,47.0,0,81.0,42.0,0,0,47.0,86.0,0,24.0,74.0
d218934e749ba6cfd2883c9beb29c622,32.0,0,0,432.0,15.0,35.0,81.0,42.0,0,17.0,0,23.0,0,0,38.0,82.0,0,43.0,20.0,55.0,72.0,79.0,16.0,40.0,38.0,33.0,23.0,12.0,28.0,33.0,71.0,0,0,64.0,0,39.0,0,35.0,95.0,18.0,37.0,32.0,0,0,52.0,48.0,51.0,77.0,70.0,78.0,90.0,336.0,22.0,10.0,33.0,38.0,22.0,25.0,0,0,31.0,133.0,0,0,0,28.0,79.0,47.0,0,0,9.0,75.0,0,36.0,27.0,0,189.0,0,27.0,0,30.0,0,16.0,0,29.0,0,0,67.0,0,0,0,0,0,0,0,0,0,23.0,0,0,0,0,0,0,0,16.0,13.0,0,23.0,0,0,10.0,0,49.0,101.0,0,0,0,0
d49fbf5c29be97378ad17f710f0ac586,0,0,0,0,106.0,97.0,43.0,0,24.0,0,0,70.0,0,0,0,0,0,52.0,0,35.0,40.0,0,70.0,0,37.0,31.0,108.0,0,0,46.0,71.0,66.0,0,0,0,0,0,91.0,32.0,81.0,0,0,36.0,0,74.0,0,0,0,84.0,0,92.0,0,0,0,0,0,81.0,0,0,0,0,0,82.0,0,120.0,0,0,42.0,47.0,26.0,184.0,51.0,0,51.0,70.0,72.0,0,85.0,0,0,0,0,63.0,0,0,52.0,0,0,0,0,0,0,0,0,41.0,39.0,28.0,41.0,0,37.0,0,0,12.0,0,0,30.0,102.0,0,0,72.0,119.0,54.0,0,0,0,0,63.0,16.0,0
8f6d4d9abd1b179ab19be33d6175ca7e,0,68.0,50.0,0,29.0,0,0,52.0,0,0,0,113.0,0,0,10.0,0,43.0,26.0,52.0,0,0,54.0,0,0,47.0,52.0,0,31.0,42.0,59.0,0,84.0,0,150.0,0,95.0,0,0,25.0,0,60.0,38.0,0,86.0,0,49.0,0,69.0,90.0,55.0,75.0,138.0,0,0,51.0,34.0,0,0,0,0,34.0,24.0,0,0,0,69.0,0,113.0,0,36.0,0,47.0,0,21.0,34.0,0,0,0,0,0,43.0,0,0,33.0,79.0,0,0,101.0,0,0,79.0,0,0,64.0,86.0,0,65.0,85.0,102.0,31.0,0,0,0,0,0,0,103.0,0,0,32.0,91.0,0,0,46.0,50.0,0,0,95.0,117.0
98a20f3e635b4b21d191308246b2a247,0,42.0,66.0,0,25.0,0,0,72.0,0,0,0,46.0,0,0,44.0,0,0,0,23.0,0,0,38.0,0,44.0,0,34.0,13.0,0,28.0,0,0,23.0,43.0,34.0,129.0,31.0,0,82.0,0,29.0,0,102.0,0,0,61.0,0,30.0,45.0,54.0,0,87.0,0,0,48.0,90.0,0,0,161.0,0,0,0,118.0,0,0,0,43.0,0,0,0,27.0,21.0,0,0,36.0,41.0,52.0,33.0,62.0,83.0,0,26.0,84.0,0,90.0,51.0,21.0,59.0,86.0,0,26.0,29.0,67.0,0,0,0,43.0,43.0,68.0,42.0,29.0,36.0,31.0,0,0,0,75.0,0,71.0,0,68.0,0,0,0,57.0,202.0,66.0,71.0,0,73.0
d87d54ccd4a13d5bd6d9364f71e6292c,58.0,11.0,0,0,0,41.0,0,204.0,0,0,63.0,62.0,0,17.0,18.0,0,46.0,34.0,0,16.0,88.0,22.0,0,36.0,0,0,0,13.0,0,0,0,0,0,154.0,136.0,19.0,0,0,0,20.0,0,261.0,0,0,0,0,42.0,0,0,0,64.0,127.0,10.0,40.0,65.0,0,0,116.0,0,0,26.0,288.0,16.0,125.0,0,0,0,0,0,0,0,36.0,17.0,0,302.0,0,0,0,84.0,0,0,0,0,42.0,9.0,0,0,0,0,97.0,0,0,79.0,0,84.0,0,0,0,0,0,0,168.0,0,0,0,0,22.0,34.0,28.0,0,0,0,0,92.0,229.0,22.0,0,0,106.0
427d20b14d7f667d0d9fd36ddf711c53,94.0,33.0,0,53.0,0,0,0,20.0,0,0,50.0,0,0,57.0,0,0,0,22.0,84.0,0,0,58.0,84.0,0,46.0,0,0,0,48.0,0,0,0,78.0,74.0,66.0,0,0,0,0,0,0,70.0,0,33.0,104.0,48.0,69.0,117.0,16.0,0,74.0,84.0,0,36.0,86.0,0,0,60.0,47.0,121.0,31.0,86.0,0,0,113.0,59.0,66.0,27.0,0,0,43.0,81.0,59.0,40.0,86.0,0,79.0,0,0,0,175.0,0,0,71.0,0,0,20.0,63.0,0,0,74.0,0,0,51.0,0,29.0,47.0,38.0,0,0,0,0,64.0,0,0,0,52.0,0,0,0,52.0,50.0,41.0,65.0,44.0,56.0,0,27.0,0
c2443233c42e4484226f06dd2e894252,0,0,0,131.0,47.0,32.0,84.0,65.0,0,0,0,51.0,0,0,0,0,0,38.0,43.0,85.0,104.0,0,0,0,44.0,0,103.0,67.0,38.0,75.0,0,48.0,0,0,0,127.0,0,65.0,0,108.0,0,0,31.0,0,45.0,0,0,104.0,59.0,28.0,52.0,91.0,0,0,93.0,0,71.0,0,0,0,0,0,101.0,0,32.0,31.0,0,39.0,0,56.0,39.0,26.0,92.0,97.0,0,0,28.0,34.0,54.0,0,62.0,0,30.0,88.0,70.0,0,0,0,0,36.0,32.0,0,100.0,0,0,0,0,43.0,0,33.0,0,0,118.0,38.0,0,20.0,0,0,61.0,41.0,0,0,0,0,0,0,0,33.0,0
13b94240668fe8a738a9734c2335afb4,0,55.0,123.0,28.0,0,0,0,0,0,50.0,53.0,37.0,0,57.0,70.0,0,0,0,0,0,99.0,0,21.0,33.0,31.0,23.0,61.0,0,47.0,0,0,0,0,130.0,35.0,44.0,0,0,0,18.0,0,158.0,0,70.0,0,52.0,53.0,85.0,0,0,58.0,181.0,91.0,21.0,59.0,31.0,0,53.0,0,0,75.0,0,46.0,0,0,33.0,0,0,25.0,0,0,31.0,53.0,25.0,85.0,0,0,0,112.0,0,0,56.0,0,38.0,76.0,0,0,46.0,0,39.0,0,0,32.0,13.0,0,52.0,0,67.0,0,0,22.0,33.0,0,0,33.0,0,42.0,0,38.0,0,0,27.0,65.0,47.0,206.0,39.0,0,0,60.0
9d7447ecb1dd9dd8171c9b3a74f2a931,17.0,57.0,0,90.0,0,0,0,26.0,0,0,61.0,5.0,0,70.0,0,0,36.0,10.0,0,0,25.0,9.0,63.0,21.0,0,25.0,67.0,12.0,0,0,0,0,0,0,12.0,8.0,19.0,0,53.0,19.0,349.0,0,47.0,123.0,38.0,0,0,0,0,198.0,24.0,129.0,332.0,42.0,0,9.0,0,29.0,112.0,0,0,0,19.0,65.0,0,0,437.0,0,22.0,0,0,13.0,0,15.0,0,0,0,0,75.0,0,0,0,0,0,4.0,0,100.0,0,0,21.0,136.0,22.0,35.0,0,0,17.0,62.0,23.0,13.0,0,0,0,0,0,0,0,45.0,0,26.0,0,0,0,0,0,0,14.0,0,45.0,26.0
73b694baad11fe3ba1961f8a8b57bdcb,0,0,0,32.0,22.0,0,0,48.0,45.0,0,0,0,0,40.0,142.0,0,0,0,32.0,53.0,36.0,29.0,0,0,0,22.0,100.0,125.0,46.0,17.0,22.0,0,0,27.0,40.0,42.0,0,65.0,20.0,0,58.0,24.0,13.0,49.0,0,0,0,34.0,61.0,0,71.0,0,0,11.0,0,56.0,0,21.0,0,0,48.0,48.0,0,0,0,50.0,0,61.0,0,19.0,46.0,0,36.0,0,231.0,0,45.0,0,43.0,0,83.0,36.0,69.0,18.0,69.0,0,9.0,47.0,14.0,0,32.0,23.0,36.0,41.0,39.0,16.0,0,57.0,59.0,0,28.0,0,76.0,0,0,20.0,19.0,145.0,0,0,70.0,15.0,22.0,0,71.0,23.0,0,18.0,35.0
1a839cc2472365ff07b5a919bf86f430,0,0,61.0,0,0,32.0,0,0,0,56.0,0,0,93.0,0,0,0,0,36.0,28.0,36.0,192.0,69.0,78.0,63.0,0,0,88.0,0,0,0,0,0,27.0,0,0,61.0,0,30.0,48.0,0,44.0,0,69.0,0,76.0,0,25.0,33.0,0,25.0,29.0,0,0,0,0,0,0,0,0,0,0,0,35.0,0,24.0,54.0,0,38.0,49.0,0,62.0,0,29.0,71.0,0,76.0,0,0,0,269.0,0,20.0,31.0,36.0,94.0,0,0,0,0,0,36.0,0,0,0,0,0,33.0,0,77.0,0,0,0,26.0,38.0,47.0,0,0,0,30.0,0,0,39.0,0,0,0,0,43.0,85.0,74.0
5800356eb5cbea32f4d31965bc0d4de5,66.0,0,0,37.0,120.0,0,0,0,0,0,0,32.0,35.0,82.0,78.0,0,0,57.0,21.0,56.0,33.0,55.0,56.0,63.0,0,29.0,113.0,0,45.0,53.0,0,0,95.0,0,0,67.0,22.0,43.0,73.0,0,0,0,95.0,20.0,34.0,66.0,52.0,39.0,59.0,97.0,37.0,48.0,0,63.0,63.0,41.0,44.0,0,0,0,47.0,24.0,0,0,0,0,50.0,29.0,0,41.0,0,0,67.0,0,0,34.0,70.0,0,69.0,0,77.0,0,15.0,0,0,42.0,0,0,0,37.0,0,0,0,0,0,0,0,39.0,0,37.0,0,48.0,0,0,60.0,52.0,0,0,42.0,34.0,52.0,0,48.0,0,36.0,0,38.0,26.0,0
